Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate,key_resp.rt
space,3.10367,6.926437229,,space,0.30487,0,0,0,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,9.963834289,,space,0.3499,1,0,1,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,6.042251604,,space,0.404725,2,0,2,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,8.221467609,"[""space""]",space,0.3011,3,0,3,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,[6.920685000019148]
,,5.807679358,,space,0.3864,4,0,4,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,7.497612943,,space,0.362495,5,0,5,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,8.770673189,,space,0.335235,6,0,6,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,9.197745704,,space,0.58349,7,0,7,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,8.866681743,,space,0.470945,8,0,8,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,4.162358601,,space,0.794345,9,0,9,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,5.129498283,,space,0.50413,10,0,10,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,7.464639214,,space,0.289305,11,0,11,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,3.884835912,,space,0.398415,12,0,12,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,8.87281455,,space,0.352265,13,0,13,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,3.827584997,,space,0.425335,14,0,14,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,2.196986297,,space,0.403645,15,0,15,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,8.973839946,,space,0.292305,16,0,16,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,5.317495061,,space,0.399435,17,0,17,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,9.922866099,,space,0.445345,18,0,18,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,5.926295606,,space,0.369605,19,0,19,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,9.168103581,,space,0.46941,20,0,20,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,3.04469461,,space,0.45458,21,0,21,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,3.61310214,,space,0.4312,22,0,22,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,7.067541631,,space,0.345995,23,0,23,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,5.814843865,,space,0.475205,24,0,24,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,6.72471474,,space,0.417525,25,0,25,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,3.585028481,,space,0.548335,26,0,26,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,9.749280777,,space,0.353205,27,0,27,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,8.245334423,,space,0.62416,28,0,28,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,7.367554348,,space,0.39024,29,0,29,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,3.270736939,,space,0.43015,30,0,30,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,2.01066039,,space,0.439875,31,0,31,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,9.252325031,,space,0.300425,32,0,32,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,8.065402433,,space,0.337505,33,0,33,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,8.513994555,"[""space""]",space,0.19991,34,0,34,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,[7.963639999972656]
,,2.581686725,,space,0.64238,35,0,35,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,8.387352805,,space,0.461875,36,0,36,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
,,3.405289951,,space,0.452545,37,0,37,0,1,MO60962,2,2020-05-29_21h32.49.224,PVT builder,2020.1.3,Win32,60,
