Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate,key_resp.rt
space,5.736475,4.566765598,,space,0.311685,0,0,0,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,5.933165651,,space,0.324325,1,0,1,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,5.101747798,,space,0.304975,2,0,2,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,9.351642979,,space,0.35756,3,0,3,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,6.607176701,,space,0.468625,4,0,4,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,8.564810396,,space,0.33769,5,0,5,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,2.457289626,,space,0.422285,6,0,6,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,5.925349538,,space,0.43771,7,0,7,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,6.773381221,,space,0.301315,8,0,8,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,2.776295021,,space,0.339515,9,0,9,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,3.123397716,,space,0.31845,10,0,10,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,3.428770399,,space,0.333865,11,0,11,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,6.766406715,,space,0.301995,12,0,12,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,9.947085023,,space,0.336645,13,0,13,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,5.163455967,,space,0.40826,14,0,14,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,7.527358272,,space,0.355765,15,0,15,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,4.367454473,,space,0.36869,16,0,16,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,5.788741138,,space,0.2846,17,0,17,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,6.853115819,,space,0.32424,18,0,18,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,9.933998053,,space,0.30197,19,0,19,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,4.70914833,,space,0.30068,20,0,20,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,5.488463215,,space,0.30431,21,0,21,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,3.664356309,,space,0.33237,22,0,22,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,6.167403673,,space,0.318925,23,0,23,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,9.588018688,,space,0.422205,24,0,24,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,7.10357581,"[""space""]",space,0.29945,25,0,25,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,[3.4678850000491366]
,,9.417773078,,space,0.28696,26,0,26,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,2.251049072,,space,0.36567,27,0,27,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,9.968097479,,space,0.31108,28,0,28,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,7.117056012,,space,0.30143,29,0,29,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,8.375213715,"[""space""]",space,0.29963,30,0,30,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,[4.171860000002198]
,,5.133435222,,space,0.30115,31,0,31,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,6.417154847,,space,0.33493,32,0,32,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,4.013394387,,space,0.351255,33,0,33,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,9.460175009,,space,0.35119,34,0,34,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,6.402624737,,space,0.334,35,0,35,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,8.208178593,,space,0.30735,36,0,36,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,9.953636739,,space,0.458565,37,0,37,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
,,8.281760769,,space,0.32278,38,0,38,0,1,MM15405,2,2020-06-17_23h05.04.804,PVT builder,2020.1.3,MacIntel,60,
