Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,id,session,completion_token,date,expName,psychopyVersion,OS,frameRate,key_resp.rt
space,7.0288,6.991872008,,space,0.352155,0,0,0,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,5.187322762,,space,0.28858,1,0,1,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,7.997958331,,space,0.326155,2,0,2,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,6.631306198,,space,0.37233,3,0,3,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,4.555646262,,space,0.48041,4,0,4,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,2.747017658,,space,0.476305,5,0,5,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,8.55633748,,space,0.252945,6,0,6,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,6.217672831,,space,0.401955,7,0,7,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,6.015821269,,space,0.33622,8,0,8,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,9.017985225,,space,0.386535,9,0,9,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,4.154426097,,space,0.587575,10,0,10,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,3.521657575,,space,0.41946,11,0,11,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,8.55110946,,space,0.364635,12,0,12,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,7.714252692,,space,0.3751,13,0,13,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,6.79450702,,space,0.31147,14,0,14,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,3.564636369,,space,0.54403,15,0,15,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,5.211273483,"[""space""]",space,0.336745,16,0,16,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,[3.7862300000851974]
,,2.137789908,,space,0.42019,17,0,17,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,4.373045725,,space,0.45276,18,0,18,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,8.092932584,"[""space""]",space,0.597385,19,0,19,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,[4.5826949999900535]
,,5.096771901,,space,0.48736,20,0,20,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,6.800411024,,space,0.429265,21,0,21,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,5.806255428,,space,0.628865,22,0,22,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,5.187040174,,space,0.42709,23,0,23,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,2.824472178,,space,0.484695,24,0,24,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,2.163719928,,space,0.45394,25,0,25,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,5.510625531,,space,0.33307,26,0,26,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,4.685607665,,space,0.38657,27,0,27,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,9.3102409,,space,0.41165,28,0,28,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,7.846526152,,space,0.43453,29,0,29,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,3.006065001,,space,0.47264,30,0,30,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,8.027965696,,space,0.452365,31,0,31,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,2.493330672,,space,0.481355,32,0,32,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,4.049092075,,space,0.521115,33,0,33,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,4.671628986,,space,0.483995,34,0,34,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
,,8.464866787,"[""space""]",space,0.36128,35,0,35,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,[5.313270000042394]
,,7.383423534,,space,0.46297,36,0,36,0,1,25785,2,73321938-EAED-4CD2-B431-79A11889F42B,2021-03-16_16h01.51.094,PVT builder,2020.1.3,Win32,60,
