Start.keys,Start.rt,Interval_stimulus,key_resp.keys,key_resp.rt,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate
space,5.6951,5.127252367,"[""space""]",[4.6966],space,0.5345,0,0,0,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,6.196914554,,,space,0.4381,1,0,1,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,9.338668113,,,space,0.3764,2,0,2,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,9.895606762,,,space,0.3417,3,0,3,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,8.936772016,,,space,0.3651,4,0,4,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,3.4961249,"[""space""]",[0.35240000000000293],space,0.5206,5,0,5,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,6.685552077,"[""space"",""space""]","[0.10520000000002483,5.3095]",space,0.5501,6,0,6,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,2.542947069,,,space,0.4733,7,0,7,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,4.013839141,,,space,0.3812,8,0,8,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,8.597644391,,,space,0.4881,9,0,9,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,7.912387715,"[""space""]",[0.3996000000000066],space,0.3403,10,0,10,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,8.329087048,"[""space""]",[0.019900000000006912],space,0.3685,11,0,11,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,2.577451621,,,space,0.5193,12,0,12,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,9.59674977,,,space,0.4669,13,0,13,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,3.576174748,"[""space""]",[0.028699999999986403],space,0.4069,14,0,14,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,2.203316526,,,space,0.4669,15,0,15,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,9.569762421,,,space,0.4751,16,0,16,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,2.887879415,,,space,0.4439,17,0,17,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,8.865267674,,,space,0.3564,18,0,18,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,7.227982273,,,space,0.5403,19,0,19,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,8.12371938,"[""space""]",[2.074700000000007],space,0.4494,20,0,20,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,2.978573088,"[""space"",""space"",""space""]","[0.18440000000001078,0.202699999999993,0.251199999999983]",space,0.4809,21,0,21,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,9.485355457,"[""space"",""space""]","[0.21000000000000796,4.002800000000008]",space,0.4557,22,0,22,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,6.768030379,,,space,0.4337,23,0,23,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,6.805504399,,,space,0.4326,24,0,24,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,3.429492817,,,space,0.488,25,0,25,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,3.000246348,,,space,0.3653,26,0,26,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,6.173008826,,,space,0.4985,27,0,27,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,3.369670868,,,space,0.5794,28,0,28,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,3.396693536,,,space,0.6821,29,0,29,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,3.3259518,,,space,0.3934,30,0,30,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,4.573121747,,,space,0.49,31,0,31,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
,,6.552144511,,,space,0.5223,32,0,32,0,1,TA56995,2,2020-05-26_15h24.05.835,PVT builder,2020.1.3,Win32,60
