Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate,key_resp.rt
space,4.984915,5.411810805,,space,0.26176,0,0,0,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,7.721178411,,space,0.66881,1,0,1,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,2.26898137,,space,0.62153,2,0,2,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,3.589894117,,space,0.59232,3,0,3,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,6.949127572,"[""space""]",space,0.587365,4,0,4,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,[0.9903250000061234]
,,4.487291297,,space,2.520305,5,0,5,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,7.992907177,,space,0.237015,6,0,6,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,8.25703884,,space,0.451485,7,0,7,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,3.606885654,,space,0.388225,8,0,8,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,5.681306264,"[""space""]",space,0.30366,9,0,9,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,[5.374605000004522]
,,4.838645625,,space,0.30444,10,0,10,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,7.103488287,,space,0.38315,11,0,11,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,7.772172401,,space,0.31775,12,0,12,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,6.213684922,,space,0.599985,13,0,13,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,9.52053933,,space,0.45149,14,0,14,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,5.841462535,,space,3.011845,15,0,15,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,3.312739567,,space,0.46882,16,0,16,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,9.01404277,,space,0.26947,17,0,17,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,8.432076857,,space,1.80493,18,0,18,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,3.409336002,,space,0.311615,19,0,19,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,2.623036526,,space,0.652015,20,0,20,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,3.245042244,,space,0.4719,21,0,21,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,2.88109251,,space,0.35115,22,0,22,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,3.634061386,,space,1.68389,23,0,23,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,4.465825458,,space,0.733225,24,0,24,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,8.099795654,,space,0.40864,25,0,25,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,9.369989136,,space,0.71961,26,0,26,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,2.356543672,,space,12.014005,27,0,27,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,5.380459139,"[""space""]",space,0.368575,28,0,28,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,[5.336649999997462]
,,7.322020206,"[""space""]",space,0.269785,29,0,29,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,[6.83520000000135]
,,3.380780412,,space,5.395675,30,0,30,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,9.490129466,,space,0.719445,31,0,31,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,4.580674874,,space,0.38484,32,0,32,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,5.732377659,,space,4.25725,33,0,33,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,6.364354569,,space,0.31853,34,0,34,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,4.836864709,"[""space"",""space""]",space,0.30116,35,0,35,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,"[2.4057749999919906,3.05065000000468]"
,,2.246580702,,space,0.383825,36,0,36,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,2.612743693,,space,0.61983,37,0,37,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,
,,9.178782381,"[""space"",""space""]",space,0.32744,38,0,38,0,1,IM17947,2,2020-06-04_22h49.07.197,PVT builder,2020.1.3,Win32,60,"[3.3679899999988265,4.001535000003059]"
