Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate
space,4.9364,2.717906128,,space,0.290895,0,0,0,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,2.556370032,,space,0.251205,1,0,1,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,5.644741405,,space,0.236395,2,0,2,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,2.762058054,,space,0.26901,3,0,3,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,5.900222179,,space,0.270055,4,0,4,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,9.655437863,,space,0.269445,5,0,5,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,7.177065611,,space,0.252005,6,0,6,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,5.930290843,,space,0.284795,7,0,7,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,8.096213199,,space,0.38797,8,0,8,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,7.82512598,,space,0.28401,9,0,9,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,9.758398633,,space,0.25442,10,0,10,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,9.22030597,,space,0.354555,11,0,11,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,8.901318177,,space,0.267555,12,0,12,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,2.699262026,,space,0.407795,13,0,13,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,5.19469063,,space,0.25479,14,0,14,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,7.304776908,,space,0.318405,15,0,15,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,5.269199979,,space,0.2848,16,0,16,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,5.57524523,,space,0.32643,17,0,17,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,4.081663173,,space,0.34355,18,0,18,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,7.117438453,,space,0.29145,19,0,19,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,5.0149714,,space,0.382215,20,0,20,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,2.878467787,,space,0.32243,21,0,21,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,6.658985086,,space,0.491575,22,0,22,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,4.391323423,,space,0.35253,23,0,23,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,8.463446425,,space,0.450975,24,0,24,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,8.947725719,,space,0.225185,25,0,25,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,5.908583736,,space,0.265685,26,0,26,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,5.537753604,,space,0.26829,27,0,27,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,4.282045169,,space,0.285725,28,0,28,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,3.894571696,,space,0.29169,29,0,29,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,9.260877603,,space,0.270115,30,0,30,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,3.205470622,,space,0.367965,31,0,31,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,5.690322659,,space,0.366355,32,0,32,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,7.01601763,,space,0.254885,33,0,33,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,8.582225069,,space,0.267735,34,0,34,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,7.341664919,,space,0.29216,35,0,35,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,8.429400663,,space,0.321395,36,0,36,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,9.383356889,,space,0.356865,37,0,37,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,5.986050449,,space,0.37627,38,0,38,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
,,7.123887307,,space,0.287355,39,0,39,0,1,AW51942,2,2020-06-24_21h31.19.713,PVT builder,2020.1.3,Win32,60
