Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate
space,1.5033,5.209551477,,space,10.962075,0,0,0,0,1,,1,2020-05-15_01h19.04.424,PVT builder,2020.1.3,Win32,60
,,8.470400262,,space,3.36969,1,0,1,0,1,,1,2020-05-15_01h19.04.424,PVT builder,2020.1.3,Win32,60
,,7.383877395,,space,1.63456,2,0,2,0,1,,1,2020-05-15_01h19.04.424,PVT builder,2020.1.3,Win32,60
,,4.184378496,,space,11.21953,3,0,3,0,1,,1,2020-05-15_01h19.04.424,PVT builder,2020.1.3,Win32,60
,,7.290907395,,space,2.68837,4,0,4,0,1,,1,2020-05-15_01h19.04.424,PVT builder,2020.1.3,Win32,60
,,8.61418905,,space,2.18669,5,0,5,0,1,,1,2020-05-15_01h19.04.424,PVT builder,2020.1.3,Win32,60
,,2.517707186,,space,6.952765,6,0,6,0,1,,1,2020-05-15_01h19.04.424,PVT builder,2020.1.3,Win32,60
,,2.434206955,,space,7.38738,7,0,7,0,1,,1,2020-05-15_01h19.04.424,PVT builder,2020.1.3,Win32,60
,,7.37884963,,space,2.64784,8,0,8,0,1,,1,2020-05-15_01h19.04.424,PVT builder,2020.1.3,Win32,60
,,4.831993823,,space,7.427925,9,0,9,0,1,,1,2020-05-15_01h19.04.424,PVT builder,2020.1.3,Win32,60
,,8.456857136,,space,1.41735,10,0,10,0,1,,1,2020-05-15_01h19.04.424,PVT builder,2020.1.3,Win32,60
,,7.611960797,,space,2.66681,11,0,11,0,1,,1,2020-05-15_01h19.04.424,PVT builder,2020.1.3,Win32,60
,,9.912392036,,space,1.96901,12,0,12,0,1,,1,2020-05-15_01h19.04.424,PVT builder,2020.1.3,Win32,60
,,4.838120244,,space,1.723865,13,0,13,0,1,,1,2020-05-15_01h19.04.424,PVT builder,2020.1.3,Win32,60
,,2.990276313,,space,1.761415,14,0,14,0,1,,1,2020-05-15_01h19.04.424,PVT builder,2020.1.3,Win32,60
,,5.612072848,,space,3.527155,15,0,15,0,1,,1,2020-05-15_01h19.04.424,PVT builder,2020.1.3,Win32,60
,,4.948958872,,space,2.702195,16,0,16,0,1,,1,2020-05-15_01h19.04.424,PVT builder,2020.1.3,Win32,60
,,6.590345818,,space,1.338815,17,0,17,0,1,,1,2020-05-15_01h19.04.424,PVT builder,2020.1.3,Win32,60
,,3.330245973,,space,2.94068,18,0,18,0,1,,1,2020-05-15_01h19.04.424,PVT builder,2020.1.3,Win32,60
,,8.191423537,,space,1.09028,19,0,19,0,1,,1,2020-05-15_01h19.04.424,PVT builder,2020.1.3,Win32,60
,,8.525691393,,space,1.496925,20,0,20,0,1,,1,2020-05-15_01h19.04.424,PVT builder,2020.1.3,Win32,60
,,9.94941045,,space,3.7219,21,0,21,0,1,,1,2020-05-15_01h19.04.424,PVT builder,2020.1.3,Win32,60
,,3.888965783,,space,4.392625,22,0,22,0,1,,1,2020-05-15_01h19.04.424,PVT builder,2020.1.3,Win32,60
,,3.632697574,,space,8.39713,23,0,23,0,1,,1,2020-05-15_01h19.04.424,PVT builder,2020.1.3,Win32,60
,,4.298680458,,space,3.86369,24,0,24,0,1,,1,2020-05-15_01h19.04.424,PVT builder,2020.1.3,Win32,60
,,9.912791428,,space,1.05904,25,0,25,0,1,,1,2020-05-15_01h19.04.424,PVT builder,2020.1.3,Win32,60
,,4.969628063,,space,6.77089,26,0,26,0,1,,1,2020-05-15_01h19.04.424,PVT builder,2020.1.3,Win32,60
