Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate,key_resp.rt
space,3.057405,5.696809427,,space,0.28128,0,0,0,0,1,AS54299,1,2020-06-21_20h02.50.641,PVT builder,2020.1.3,Win32,60,
,,5.098573086,,space,0.332365,1,0,1,0,1,AS54299,1,2020-06-21_20h02.50.641,PVT builder,2020.1.3,Win32,60,
,,3.533656557,,space,0.33178,2,0,2,0,1,AS54299,1,2020-06-21_20h02.50.641,PVT builder,2020.1.3,Win32,60,
,,5.527665195,,space,0.267695,3,0,3,0,1,AS54299,1,2020-06-21_20h02.50.641,PVT builder,2020.1.3,Win32,60,
,,7.94270635,"[""space""]",space,0.32643,4,0,4,0,1,AS54299,1,2020-06-21_20h02.50.641,PVT builder,2020.1.3,Win32,60,[5.186159999924712]
,,3.245595689,,space,0.44631,5,0,5,0,1,AS54299,1,2020-06-21_20h02.50.641,PVT builder,2020.1.3,Win32,60,
,,9.862700607,,space,0.30322,6,0,6,0,1,AS54299,1,2020-06-21_20h02.50.641,PVT builder,2020.1.3,Win32,60,
,,7.504784689,,space,0.42573,7,0,7,0,1,AS54299,1,2020-06-21_20h02.50.641,PVT builder,2020.1.3,Win32,60,
,,2.770343867,,space,0.38331,8,0,8,0,1,AS54299,1,2020-06-21_20h02.50.641,PVT builder,2020.1.3,Win32,60,
,,2.125225823,,space,0.411935,9,0,9,0,1,AS54299,1,2020-06-21_20h02.50.641,PVT builder,2020.1.3,Win32,60,
,,3.099880429,"[""space""]",space,0.360465,10,0,10,0,1,AS54299,1,2020-06-21_20h02.50.641,PVT builder,2020.1.3,Win32,60,[1.4536749999970198]
,,9.730188688,,space,0.29975,11,0,11,0,1,AS54299,1,2020-06-21_20h02.50.641,PVT builder,2020.1.3,Win32,60,
,,5.595113125,,space,0.34509,12,0,12,0,1,AS54299,1,2020-06-21_20h02.50.641,PVT builder,2020.1.3,Win32,60,
,,2.445798647,,space,0.3078,13,0,13,0,1,AS54299,1,2020-06-21_20h02.50.641,PVT builder,2020.1.3,Win32,60,
,,4.880428181,,space,0.29004,14,0,14,0,1,AS54299,1,2020-06-21_20h02.50.641,PVT builder,2020.1.3,Win32,60,
,,9.427090077,,space,0.467645,15,0,15,0,1,AS54299,1,2020-06-21_20h02.50.641,PVT builder,2020.1.3,Win32,60,
,,5.232860965,"[""space""]",space,0.36642,16,0,16,0,1,AS54299,1,2020-06-21_20h02.50.641,PVT builder,2020.1.3,Win32,60,[2.185635000001639]
,,8.475748088,,space,0.27467,17,0,17,0,1,AS54299,1,2020-06-21_20h02.50.641,PVT builder,2020.1.3,Win32,60,
,,3.120858563,,space,0.396455,18,0,18,0,1,AS54299,1,2020-06-21_20h02.50.641,PVT builder,2020.1.3,Win32,60,
,,4.66942718,,space,0.304825,19,0,19,0,1,AS54299,1,2020-06-21_20h02.50.641,PVT builder,2020.1.3,Win32,60,
,,3.150653055,,space,0.31361,20,0,20,0,1,AS54299,1,2020-06-21_20h02.50.641,PVT builder,2020.1.3,Win32,60,
,,7.54166894,,space,0.33142,21,0,21,0,1,AS54299,1,2020-06-21_20h02.50.641,PVT builder,2020.1.3,Win32,60,
,,4.223073294,,space,0.38268,22,0,22,0,1,AS54299,1,2020-06-21_20h02.50.641,PVT builder,2020.1.3,Win32,60,
,,9.604958042,,space,0.270115,23,0,23,0,1,AS54299,1,2020-06-21_20h02.50.641,PVT builder,2020.1.3,Win32,60,
,,3.844814571,,space,0.3644,24,0,24,0,1,AS54299,1,2020-06-21_20h02.50.641,PVT builder,2020.1.3,Win32,60,
,,5.495900712,,space,0.300885,25,0,25,0,1,AS54299,1,2020-06-21_20h02.50.641,PVT builder,2020.1.3,Win32,60,
