Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate
space,7.273355,8.10653309,,space,0.374005,0,0,0,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,3.160983032,,space,0.317815,1,0,1,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,5.926870685,,space,0.303395,2,0,2,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,8.805293727,,space,0.317315,3,0,3,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,4.495280307,,space,0.40881,4,0,4,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,5.008399082,,space,0.22786,5,0,5,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,5.551401455,,space,0.251065,6,0,6,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,3.399741865,,space,0.341755,7,0,7,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,7.198355583,,space,0.218395,8,0,8,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,4.92258367,,space,0.24649,9,0,9,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,8.716452616,,space,0.2948,10,0,10,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,6.176605864,,space,0.20848,11,0,11,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,7.444722605,,space,0.26809,12,0,12,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,4.703959566,,space,0.339545,13,0,13,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,8.943097062,,space,0.24378,14,0,14,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,6.013189382,,space,0.295355,15,0,15,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,4.974942906,,space,0.251535,16,0,16,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,4.638984112,,space,0.268415,17,0,17,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,8.724913878,,space,0.30521,18,0,18,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,8.295527096,,space,0.304775,19,0,19,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,4.06988834,,space,0.35518,20,0,20,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,3.887532317,,space,0.34278,21,0,21,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,2.416261678,,space,0.30757,22,0,22,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,8.895976362,,space,0.35532,23,0,23,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,4.782673558,,space,0.33446,24,0,24,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,4.692538591,,space,0.22071,25,0,25,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,9.929086897,,space,0.395785,26,0,26,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,3.690378799,,space,0.326345,27,0,27,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,3.329327545,,space,0.50371,28,0,28,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,7.458168311,,space,0.27162,29,0,29,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,9.074432377,,space,0.362225,30,0,30,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,3.947411964,,space,0.43713,31,0,31,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,6.227898792,,space,0.312335,32,0,32,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,8.076980056,,space,0.262665,33,0,33,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,6.161376814,,space,0.259925,34,0,34,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,3.505095056,,space,0.307845,35,0,35,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,3.64538996,,space,0.237185,36,0,36,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,5.630832267,,space,0.38024,37,0,37,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,4.769692554,,space,0.23741,38,0,38,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,5.75971027,,space,0.306155,39,0,39,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,5.176912642,,space,0.391925,40,0,40,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,2.550273504,,space,0.31032,41,0,41,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
,,4.654324187,,space,0.320285,42,0,42,0,1,MD19148,2,2020-05-20_21h00.55.036,PVT builder,2020.1.3,Win32,60
