Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate,key_resp.rt
space,3.920645,8.529721924,,space,0.26333,0,0,0,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,6.93063585,,space,0.381095,1,0,1,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,4.959975353,,space,0.296855,2,0,2,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,6.238699669,,space,0.275545,3,0,3,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,7.518741969,,space,0.278395,4,0,4,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,8.37721816,,space,0.27002,5,0,5,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,6.857502435,,space,0.26883,6,0,6,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,4.081228074,,space,0.29716,7,0,7,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,2.917894395,,space,0.322745,8,0,8,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,8.532705031,,space,0.216745,9,0,9,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,9.112715623,,space,0.235555,10,0,10,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,7.68204673,,space,0.262075,11,0,11,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,5.18083847,,space,0.270865,12,0,12,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,8.085469235,,space,0.213865,13,0,13,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,2.448741266,,space,0.376135,14,0,14,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,3.095791585,,space,0.22465,15,0,15,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,9.757328641,,space,0.208635,16,0,16,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,8.805384478,,space,0.21538,17,0,17,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,7.703569549,,space,0.263955,18,0,18,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,3.940544523,,space,0.26606,19,0,19,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,4.789140763,,space,0.231415,20,0,20,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,9.091166905,,space,0.218785,21,0,21,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,8.166579503,,space,0.24564,22,0,22,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,7.458747709,,space,0.27009,23,0,23,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,2.866280483,,space,0.255715,24,0,24,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,5.614384045,,space,0.230415,25,0,25,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,6.892383391,,space,0.207525,26,0,26,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,8.175130306,,space,0.21184,27,0,27,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,8.087061529,,space,0.24277,28,0,28,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,6.298403068,,space,0.27515,29,0,29,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,2.507132694,,space,0.248495,30,0,30,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,2.408799243,,space,0.238515,31,0,31,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,9.916741864,,space,0.256715,32,0,32,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,8.676452674,,space,0.241995,33,0,33,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,3.948267935,,space,0.251705,34,0,34,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,7.5198136,,space,0.25573,35,0,35,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
,,8.439060532,"[""space""]",space,0.25013,36,0,36,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,[1.1857600000221282]
,,8.796348129,"[""space""]",space,0.24245,37,0,37,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,[5.86516499996651]
,,2.772189174,,space,0.26522,38,0,38,0,1,WW00131,2,2020-06-14_18h18.37.872,PVT builder,2020.1.3,Win32,60,
