Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate
space,2.357405,8.851228646,,space,1.252015,0,0,0,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,4.304384194,,space,0.47951,1,0,1,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,6.101057484,,space,0.406945,2,0,2,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,3.136217946,,space,0.511905,3,0,3,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,5.45109104,,space,0.313385,4,0,4,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,8.467756956,,space,0.304805,5,0,5,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,4.09877677,,space,0.38487,6,0,6,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,6.616016199,,space,0.279605,7,0,7,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,7.070922206,,space,0.289665,8,0,8,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,6.554647457,,space,0.294625,9,0,9,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,5.19135118,,space,0.301045,10,0,10,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,8.927384749,,space,0.290705,11,0,11,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,7.302558464,,space,0.273805,12,0,12,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,5.21636043,,space,0.301725,13,0,13,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,8.165365545,,space,0.290815,14,0,14,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,3.475719557,,space,0.300775,15,0,15,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,9.969195111,,space,0.27975,16,0,16,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,2.479951292,,space,0.375835,17,0,17,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,3.439776025,,space,0.3194,18,0,18,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,3.876835286,,space,0.34377,19,0,19,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,9.101764243,,space,0.244985,20,0,20,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,2.671927339,,space,0.268135,21,0,21,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,6.652146845,,space,0.267605,22,0,22,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,7.005971846,,space,0.287185,23,0,23,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,5.886387016,,space,0.255525,24,0,24,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,3.859244824,,space,0.378215,25,0,25,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,2.580879235,,space,0.3236,26,0,26,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,5.007691469,,space,0.285805,27,0,27,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,2.606839226,,space,0.370105,28,0,28,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,4.336422251,,space,0.38884,29,0,29,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,3.019028156,,space,0.42054,30,0,30,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,9.161287236,,space,0.292505,31,0,31,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,5.565848062,,space,0.2844,32,0,32,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,6.842927515,,space,0.30024,33,0,33,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,7.321905471,,space,0.33446,34,0,34,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,4.814975498,,space,0.275995,35,0,35,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,7.487116333,,space,0.286945,36,0,36,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,4.453888819,,space,0.35911,37,0,37,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,4.43243601,,space,0.40093,38,0,38,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,3.6787594,,space,0.346565,39,0,39,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,6.385763269,,space,0.24451,40,0,40,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,9.070739539,,space,0.2677,41,0,41,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
,,6.033766932,,space,0.305935,42,0,42,0,1,MC86247,2,2020-05-22_22h34.37.920,PVT builder,2020.1.3,Win32,60
