Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,id,session,completion_token,date,expName,psychopyVersion,OS,frameRate
space,8.197,2.912194248,,space,0.333,0,0,0,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,4.964992968,,space,0.37,1,0,1,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,5.737423358,,space,0.32,2,0,2,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,9.907068545,,space,0.358,3,0,3,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,7.667712193,,space,0.342,4,0,4,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,3.271537213,,space,0.384,5,0,5,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,9.539723244,,space,0.371,6,0,6,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,6.686827679,,space,0.402,7,0,7,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,9.018386722,,space,0.371,8,0,8,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,9.40717885,,space,0.352,9,0,9,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,3.998058648,,space,0.374,10,0,10,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,3.488937901,,space,0.386,11,0,11,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,5.97438544,,space,0.32,12,0,12,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,5.465951342,,space,0.37,13,0,13,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,6.835723731,,space,1.102,14,0,14,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,8.962877016,,space,0.336,15,0,15,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,4.961592902,,space,0.319,16,0,16,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,4.163605709,,space,0.338,17,0,17,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,4.103027803,,space,0.337,18,0,18,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,3.767700791,,space,0.336,19,0,19,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
,,6.936844302,,space,0.338,20,0,20,0,1,45833,2,250BD0FA-7104-4C96-85B0-E24EE566DFA6,2021-03-15_20h42.52.346,PVT builder,2020.1.3,Win32,60
