Start.keys,Start.rt,Interval_stimulus,key_resp.keys,key_resp.rt,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate
space,1.094635,3.740560377,"[""space""]",[1.9110450000152923],space,0.922275,0,0,0,0,1,1,1,2020-07-26_19h43.08.189,PVT builder,2020.1.3,MacIntel,60
,,3.180291518,"[""space""]",[1.466935000004014],space,0.54534,1,0,1,0,1,1,1,2020-07-26_19h43.08.189,PVT builder,2020.1.3,MacIntel,60
,,8.905080663,"[""space""]",[6.988825000007637],space,3.350425,2,0,2,0,1,1,1,2020-07-26_19h43.08.189,PVT builder,2020.1.3,MacIntel,60
