Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate,key_resp.rt
space,9.30863,6.255937942,,space,0.57846,0,0,0,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,2.75151178,,space,0.284895,1,0,1,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,6.450528236,,space,0.251235,2,0,2,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,8.239503409,,space,0.30143,3,0,3,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,2.979864603,,space,0.776545,4,0,4,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,5.885358603,,space,0.262255,5,0,5,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,2.207765225,,space,0.338555,6,0,6,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,3.038795757,,space,0.364415,7,0,7,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,8.826017712,,space,0.234575,8,0,8,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,9.583723087,,space,0.233195,9,0,9,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,6.912688488,,space,0.463615,10,0,10,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,6.336228911,"[""space""]",space,0.26836,11,0,11,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,[2.67992000002414]
,,8.917984595,,space,0.254415,12,0,12,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,9.277538893,,space,0.309685,13,0,13,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,8.500369397,,space,0.309765,14,0,14,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,8.348532776,,space,0.26618,15,0,15,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,3.119547753,,space,0.33314,16,0,16,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,6.734281085,,space,0.28497,17,0,17,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,6.842256334,,space,0.27421,18,0,18,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,9.945014762,,space,0.302185,19,0,19,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,8.951310037,,space,0.29327,20,0,20,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,8.731009007,,space,0.28473,21,0,21,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,4.656937468,,space,0.45199,22,0,22,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,8.071600707,,space,0.29574,23,0,23,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,4.253854056,,space,0.34086,24,0,24,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,7.934385348,,space,0.290145,25,0,25,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,9.390797381,,space,0.332745,26,0,26,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,3.773401956,,space,0.32705,27,0,27,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,5.487245165,,space,0.270545,28,0,28,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,2.762325064,,space,0.474315,29,0,29,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,9.254312471,,space,0.316505,30,0,30,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,2.422396915,,space,0.33398,31,0,31,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,9.005967799,,space,0.483475,32,0,32,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,2.894817822,,space,0.279735,33,0,33,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,3.914786681,,space,0.323655,34,0,34,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,7.942993669,,space,0.259135,35,0,35,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,5.575752872,,space,0.304325,36,0,36,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,3.557455831,,space,0.30681,37,0,37,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,6.140406177,,space,0.351495,38,0,38,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
,,2.296825542,,space,0.401255,39,0,39,0,1,EC79302,2,2020-05-26_13h48.57.069,PVT builder,2020.1.3,Win32,60,
