Start.keys,Start.rt,Interval_stimulus,key_resp.keys,key_resp.rt,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate
space,4.6941,9.436410189,"[""space""]",[9.305399999999995],space,0.6517,0,0,0,0,1,CA30802,2,2020-05-26_09h27.26.708,PVT builder,2020.1.3,Win32,60
,,4.65410204,,,space,0.2844,1,0,1,0,1,CA30802,2,2020-05-26_09h27.26.708,PVT builder,2020.1.3,Win32,60
,,5.371996565,,,space,0.284,2,0,2,0,1,CA30802,2,2020-05-26_09h27.26.708,PVT builder,2020.1.3,Win32,60
,,4.467242792,,,space,0.2629,3,0,3,0,1,CA30802,2,2020-05-26_09h27.26.708,PVT builder,2020.1.3,Win32,60
,,2.90145346,"[""space""]",[0.5172999999999916],space,0.322,4,0,4,0,1,CA30802,2,2020-05-26_09h27.26.708,PVT builder,2020.1.3,Win32,60
,,5.994088329,,,space,0.2542,5,0,5,0,1,CA30802,2,2020-05-26_09h27.26.708,PVT builder,2020.1.3,Win32,60
,,5.935882379,,,space,0.2196,6,0,6,0,1,CA30802,2,2020-05-26_09h27.26.708,PVT builder,2020.1.3,Win32,60
,,5.809951376,,,space,0.2891,7,0,7,0,1,CA30802,2,2020-05-26_09h27.26.708,PVT builder,2020.1.3,Win32,60
,,6.400913636,,,space,0.3514,8,0,8,0,1,CA30802,2,2020-05-26_09h27.26.708,PVT builder,2020.1.3,Win32,60
,,3.783571235,,,space,0.2376,9,0,9,0,1,CA30802,2,2020-05-26_09h27.26.708,PVT builder,2020.1.3,Win32,60
,,9.739058393,,,space,0.2671,10,0,10,0,1,CA30802,2,2020-05-26_09h27.26.708,PVT builder,2020.1.3,Win32,60
,,3.590362595,,,space,0.3635,11,0,11,0,1,CA30802,2,2020-05-26_09h27.26.708,PVT builder,2020.1.3,Win32,60
,,5.093132115,,,space,0.3167,12,0,12,0,1,CA30802,2,2020-05-26_09h27.26.708,PVT builder,2020.1.3,Win32,60
,,8.461337138,"[""space""]",[3.3525999999999953],space,0.2784,13,0,13,0,1,CA30802,2,2020-05-26_09h27.26.708,PVT builder,2020.1.3,Win32,60
,,5.285190148,,,space,0.3614,14,0,14,0,1,CA30802,2,2020-05-26_09h27.26.708,PVT builder,2020.1.3,Win32,60
,,4.623753422,,,space,0.3059,15,0,15,0,1,CA30802,2,2020-05-26_09h27.26.708,PVT builder,2020.1.3,Win32,60
,,4.833256855,,,space,0.274,16,0,16,0,1,CA30802,2,2020-05-26_09h27.26.708,PVT builder,2020.1.3,Win32,60
,,2.060239167,,,space,0.3511,17,0,17,0,1,CA30802,2,2020-05-26_09h27.26.708,PVT builder,2020.1.3,Win32,60
,,5.666472712,,,space,0.2509,18,0,18,0,1,CA30802,2,2020-05-26_09h27.26.708,PVT builder,2020.1.3,Win32,60
,,9.872012094,,,space,0.2896,19,0,19,0,1,CA30802,2,2020-05-26_09h27.26.708,PVT builder,2020.1.3,Win32,60
