Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate,key_resp.rt
space,3.656895,2.655780143,,space,0.45887,0,0,0,0,1,kj69825,2,2020-06-18_12h39.53.559,PVT builder,2020.1.3,Win32,60,
,,7.724228696,"[""space"",""space""]",space,0.20902,1,0,1,0,1,kj69825,2,2020-06-18_12h39.53.559,PVT builder,2020.1.3,Win32,60,"[5.456050000000232,6.312535000000025]"
,,6.691535338,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]",space,0.103995,2,0,2,0,1,kj69825,2,2020-06-18_12h39.53.559,PVT builder,2020.1.3,Win32,60,"[0.4347349999998045,0.6772849999997561,0.9940849999998065,1.2528399999996438,1.4668299999998382,1.7701499999998234,2.0001549999997223,2.1860449999999148,2.3934399999998277,2.7002649999999377,2.937669999999791,3.18345499999986,3.4056299999997393,3.6237849999997707,3.8416950000000583,4.05850000000008,4.2694249999999485,4.521635000000046,4.746549999999843,4.994604999999865,5.256484999999884,5.583595000000059,5.851584999999879,6.0788549999997485,6.324129999999954,6.570044999999929]"
,,2.248871291,"[""space"",""space"",""space"",""space"",""space""]",space,0.05329,3,0,3,0,1,kj69825,2,2020-06-18_12h39.53.559,PVT builder,2020.1.3,Win32,60,"[1.0356849999998303,1.4475000000002183,1.645379999999932,1.844000000000051,2.0769850000001426]"
,,2.043109668,"[""space"",""space"",""space"",""space"",""space"",""space"",""space""]",space,0.219445,4,0,4,0,1,kj69825,2,2020-06-18_12h39.53.559,PVT builder,2020.1.3,Win32,60,"[0.44624999999997783,0.6839199999999508,0.886290000000372,1.087515000000181,1.285885000000249,1.5005800000003617,1.783969999999961]"
,,6.202082899,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]",space,0.155785,5,0,5,0,1,kj69825,2,2020-06-18_12h39.53.559,PVT builder,2020.1.3,Win32,60,"[0.5051899999998568,0.8611849999997503,1.0273749999996653,1.220929999999946,1.4386150000000129,1.6958849999996275,1.9390099999995911,2.1635849999997774,2.3840299999997043,2.6034599999998065,2.8461449999999715,3.069599999999795,3.2780949999996665,3.50102500000002,3.738249999999873,3.983780000000017,4.213299999999883,4.429864999999602,4.653399999999685,4.881364999999725,5.1289449999999235,5.388719999999907,5.634014999999636,5.875,6.103159999999647]"
,,6.053156815,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]",space,0.203995,6,0,6,0,1,kj69825,2,2020-06-18_12h39.53.559,PVT builder,2020.1.3,Win32,60,"[0.0502400000000236,0.26672000000008467,0.4730500000000504,0.6735650000000533,0.8862799999997151,1.0794049999999444,1.3131949999997232,1.5447100000001228,1.783849999999802,2.016534999999749,2.2299649999999858,2.4403400000001056,2.671129999999721,2.8967649999999665,3.1286599999998472,3.387214999999742,3.616895000000113,3.912489999999707,4.100265000000036,4.4452799999999115,4.753200000000106,4.991164999999917,5.2192700000000585,5.479475000000093,5.719865000000027,5.983525000000107]"
,,2.417322957,"[""space"",""space"",""space"",""space""]",space,0.23624,7,0,7,0,1,kj69825,2,2020-06-18_12h39.53.559,PVT builder,2020.1.3,Win32,60,"[0.2592149999995854,1.2774199999998928,1.926549999999665,2.1504899999999907]"
,,2.188504781,"[""space"",""space"",""space"",""space"",""space"",""space""]",space,0.525695,8,0,8,0,1,kj69825,2,2020-06-18_12h39.53.559,PVT builder,2020.1.3,Win32,60,"[0.02907999999979438,0.28930999999965934,0.5544549999999617,0.7922999999996136,1.0222249999996933,1.3202499999997457]"
,,9.713933626,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]",space,0.11761,9,0,9,0,1,kj69825,2,2020-06-18_12h39.53.559,PVT builder,2020.1.3,Win32,60,"[0.16675000000032014,0.32365000000027067,0.5244200000001911,0.7055200000004334,0.9392750000001655,1.110620000000381,1.266700000000128,1.4458350000000024,1.6410150000001522,1.8255300000000716,1.9620450000002165,2.200325000000248,2.383610000000303,2.555605000000014,2.7075400000003356,2.87627000000019,3.067080000000246,3.2669200000000274,3.4419700000003104,3.6395500000003267,3.8273400000002766,4.014115000000402,4.194600000000278,4.366940000000341,4.557819999999992,4.750550000000189,4.94197000000031,5.10307499999999,5.288005000000339,5.4838450000002155,5.667005000000245,6.487390000000232,6.650390000000257,6.839940000000297,7.036595000000034,7.407365000000027,7.5443750000004,7.721340000000055,7.895680000000084,8.116770000000074,8.333515000000261,8.540615000000344,8.721975000000384,8.916950000000284,9.108100000000377]"
,,2.488297827,"[""space"",""space"",""space"",""space"",""space""]",space,0.96293,10,0,10,0,1,kj69825,2,2020-06-18_12h39.53.559,PVT builder,2020.1.3,Win32,60,"[0.14983499999972594,0.30914999999959036,0.500144999999975,0.6834999999996398,0.8533800000000298]"
,,6.862550659,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]",space,0.128805,11,0,11,0,1,kj69825,2,2020-06-18_12h39.53.559,PVT builder,2020.1.3,Win32,60,"[0.020790000000033615,0.19337499999983265,0.3625299999998788,0.5852000000000004,0.7602999999999156,0.9727999999999923,1.446019999999848,1.6267499999998876,1.8130400000000009,2.410074999999779,2.5714549999998013,2.778759999999707,2.9807550000000447,3.1664449999998396,3.3588599999998223,3.5602499999999964,3.762644999999793,3.944604999999683,4.138079999999718,4.373264999999719,4.561310000000049,4.755099999999857,4.936760000000049,5.116880000000052,5.306915000000117,5.483345000000099,5.6581200000000536,5.839159999999978,6.03559999999969,6.239720000000048,6.441280000000006,6.639204999999933,6.8291599999997885]"
,,7.171307089,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]",space,0.43463,12,0,12,0,1,kj69825,2,2020-06-18_12h39.53.559,PVT builder,2020.1.3,Win32,60,"[0.16653999999971347,0.3471999999997024,0.5713099999998263,0.774159999999938,0.9836649999997462,1.2385799999997147,1.438654999999926,1.61654499999986,1.8076349999996495,1.9916349999998602,2.7041150000000016,2.8944949999995515,3.100144999999884,3.306774999999547,3.4973399999998946,3.6789249999997082,3.8747199999997974,4.0812049999999545,4.286399999999958,4.486624999999989,4.686304999999734,4.904509999999846,5.116569999999683,5.325079999999616,5.519594999999754,5.73368499999971,5.946534999999599,6.169589999999957]"
