Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate
space,3.953525,6.291580438,,space,0.3284,0,0,0,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,3.884212023,,space,0.302015,1,0,1,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,8.066286025,,space,0.3402,2,0,2,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,9.390137091,,space,0.34147,3,0,3,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,7.286246071,,space,0.30031,4,0,4,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,9.559159295,,space,0.26378,5,0,5,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,2.971546272,,space,0.416515,6,0,6,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,3.947067203,,space,0.29593,7,0,7,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,7.443400598,,space,0.26787,8,0,8,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,8.625828756,,space,0.273375,9,0,9,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,3.116653521,,space,0.28234,10,0,10,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,9.390211584,,space,0.33205,11,0,11,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,9.757518192,,space,0.35166,12,0,12,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,7.098111611,,space,0.29073,13,0,13,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,5.401349967,,space,0.30711,14,0,14,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,6.278558972,,space,0.32702,15,0,15,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,2.643061901,,space,0.29806,16,0,16,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,4.406366612,,space,0.28786,17,0,17,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,2.623746679,,space,0.40549,18,0,18,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,9.706589403,,space,0.31016,19,0,19,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,9.037969368,,space,0.281305,20,0,20,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,9.614265453,,space,0.282535,21,0,21,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,7.364858373,,space,0.343435,22,0,22,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,4.739680701,,space,0.36617,23,0,23,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,4.443710006,,space,0.37145,24,0,24,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,6.420956939,,space,0.36657,25,0,25,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,6.137412443,,space,0.49941,26,0,26,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,4.347692859,,space,0.28327,27,0,27,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,5.430058495,,space,0.25149,28,0,28,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,2.455571428,,space,0.382935,29,0,29,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,3.972888632,,space,0.272185,30,0,30,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,5.564191419,,space,0.309045,31,0,31,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,6.829277458,,space,0.25101,32,0,32,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,5.081550607,,space,0.533225,33,0,33,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,5.862147718,,space,0.289285,34,0,34,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,5.156499194,,space,0.2517,35,0,35,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,4.647993481,,space,0.26753,36,0,36,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,8.809389124,,space,0.272755,37,0,37,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,6.069797953,,space,0.28933,38,0,38,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
,,7.128571065,,space,0.337235,39,0,39,0,1,am88807,2,2020-06-16_14h30.00.691,PVT builder,2020.1.3,Win32,60
