Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate
space,2.433255,6.572539152,,space,0.29258,0,0,0,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,6.179175111,,space,0.313495,1,0,1,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,5.123767035,,space,0.274155,2,0,2,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,9.53189196,,space,0.30868,3,0,3,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,9.173077982,,space,0.281765,4,0,4,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,3.177290252,,space,0.362505,5,0,5,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,8.882675877,,space,0.289655,6,0,6,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,8.766457788,,space,0.241175,7,0,7,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,4.960721168,,space,0.280685,8,0,8,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,7.518539439,,space,0.26036,9,0,9,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,7.839251227,,space,0.271745,10,0,10,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,7.85802478,,space,0.32083,11,0,11,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,9.091883232,,space,0.280075,12,0,12,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,6.936880703,,space,0.274745,13,0,13,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,5.02252457,,space,0.32533,14,0,14,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,9.959260321,,space,0.27163,15,0,15,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,2.751776242,,space,0.28228,16,0,16,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,8.201776877,,space,0.28734,17,0,17,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,9.781748032,,space,0.330435,18,0,18,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,5.097745982,,space,0.28804,19,0,19,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,5.299315204,,space,0.259795,20,0,20,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,5.987748618,,space,0.27111,21,0,21,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,9.471039464,,space,0.274885,22,0,22,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,4.679779523,,space,0.308315,23,0,23,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,3.508096173,,space,0.312965,24,0,24,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,8.811614088,,space,0.26542,25,0,25,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,7.70876202,,space,0.28763,26,0,26,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,6.461180679,,space,0.289085,27,0,27,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,2.306552205,,space,0.41061,28,0,28,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,2.145631918,,space,0.29002,29,0,29,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,7.563234723,,space,0.27623,30,0,30,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,2.71089835,,space,0.275275,31,0,31,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,4.249276143,,space,0.28083,32,0,32,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,2.770317796,,space,0.2739,33,0,33,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,5.492593288,,space,0.23901,34,0,34,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,6.297074406,,space,0.26492,35,0,35,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,8.529979436,,space,0.25649,36,0,36,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,6.068127278,,space,0.300085,37,0,37,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
,,9.209689044,,space,0.298495,38,0,38,0,1,JT79181,2,2020-06-25_14h54.47.047,PVT builder,2020.1.3,Win32,60
