Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,id,session,completion_token,date,expName,psychopyVersion,OS,frameRate,key_resp.rt
space,9.840485,7.933685723,,space,2.06284,0,0,0,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
,,4.650688903,,space,0.353945,1,0,1,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
,,4.217750693,,space,0.37486,2,0,2,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
,,8.072708599,,space,0.308085,3,0,3,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
,,3.997671468,,space,0.35082,4,0,4,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
,,8.685974241,,space,0.33482,5,0,5,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
,,4.346623117,,space,0.419255,6,0,6,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
,,9.333730052,,space,0.38531,7,0,7,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
,,7.005395665,,space,0.36533,8,0,8,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
,,8.53092935,,space,0.284815,9,0,9,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
,,8.373282003,,space,0.32181,10,0,10,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
,,9.834246063,,space,0.28528,11,0,11,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
,,2.299797025,,space,0.343665,12,0,12,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
,,7.739919891,,space,0.29473,13,0,13,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
,,2.204460884,,space,0.381125,14,0,14,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
,,6.091330897,,space,0.35518,15,0,15,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
,,6.669828444,,space,0.338205,16,0,16,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
,,3.911330181,,space,0.334315,17,0,17,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
,,5.10447498,,space,0.28678,18,0,18,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
,,7.316002037,,space,0.31945,19,0,19,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
,,9.309287859,,space,0.354235,20,0,20,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
,,8.679322052,,space,0.285195,21,0,21,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
,,6.207008563,,space,0.335155,22,0,22,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
,,3.412912657,,space,0.49364,23,0,23,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
,,6.598032821,,space,0.318895,24,0,24,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
,,8.364924493,,space,0.28552,25,0,25,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
,,6.014535285,,space,0.317695,26,0,26,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
,,4.617556554,,space,0.269285,27,0,27,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
,,8.569445576,,space,0.336125,28,0,28,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
,,2.033558915,,space,0.435965,29,0,29,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
,,4.735814446,"[""space""]",space,0.32603,30,0,30,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,[1.0022149999858811]
,,8.020087242,,space,0.60468,31,0,31,0,1,22,2,,2021-03-17_16h12.44.672,PVT builder,2020.1.3,Win32,60,
