Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate
space,13.052,4.845848221,,space,0.369,0,0,0,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,8.66402201,,space,0.336,1,0,1,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,3.46945967,,space,0.366,2,0,2,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,8.895992581,,space,0.279,3,0,3,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,5.059977795,,space,0.379,4,0,4,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,6.487312445,,space,0.371,5,0,5,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,3.071474373,,space,0.414,6,0,6,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,9.481320691,,space,0.306,7,0,7,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,7.262407522,,space,0.286,8,0,8,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,3.909375147,,space,0.322,9,0,9,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,5.298296673,,space,0.312,10,0,10,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,3.910107918,,space,0.292,11,0,11,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,9.000689678,,space,0.301,12,0,12,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,4.76682795,,space,0.403,13,0,13,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,6.719824481,,space,0.371,14,0,14,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,2.202216088,,space,0.423,15,0,15,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,2.499650862,,space,0.385,16,0,16,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,8.48673533,,space,0.336,17,0,17,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,2.587200601,,space,0.435,18,0,18,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,3.913203544,,space,0.354,19,0,19,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,9.603023162,,space,0.321,20,0,20,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,8.687129892,,space,0.402,21,0,21,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,2.729921653,,space,0.468,22,0,22,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,8.6208087,,space,0.369,23,0,23,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,3.681456404,,space,0.585,24,0,24,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,9.977540309,,space,0.369,25,0,25,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,9.063282955,,space,0.322,26,0,26,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,7.741442908,,space,0.39,27,0,27,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,5.044606949,,space,0.355,28,0,28,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,6.07155288,,space,0.371,29,0,29,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,4.88150488,,space,0.352,30,0,30,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,8.034361267,,space,0.503,31,0,31,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,9.524386461,,space,0.361,32,0,32,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,2.991509505,,space,0.412,33,0,33,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,8.012232311,,space,0.369,34,0,34,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,2.172476835,,space,0.404,35,0,35,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,9.786056629,,space,0.389,36,0,36,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,3.655890683,,space,0.437,37,0,37,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,3.500696913,,space,0.451,38,0,38,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,8.93008033,,space,0.368,39,0,39,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
,,4.00204519,,space,0.353,40,0,40,0,1,ms99412,1,2020-07-21_17h42.49.318,PVT builder,2020.1.3,MacIntel,60
