Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate,key_resp.rt
space,4.809105,5.274238154,,space,0.277655,0,0,0,0,1,EK76717,2,2020-07-08_14h27.22.851,PVT builder,2020.1.3,MacIntel,60,
,,5.237098688,,space,0.30471,1,0,1,0,1,EK76717,2,2020-07-08_14h27.22.851,PVT builder,2020.1.3,MacIntel,60,
,,6.051999901,,space,0.235995,2,0,2,0,1,EK76717,2,2020-07-08_14h27.22.851,PVT builder,2020.1.3,MacIntel,60,
,,2.908991903,,space,0.321955,3,0,3,0,1,EK76717,2,2020-07-08_14h27.22.851,PVT builder,2020.1.3,MacIntel,60,
,,3.97850445,,space,0.27829,4,0,4,0,1,EK76717,2,2020-07-08_14h27.22.851,PVT builder,2020.1.3,MacIntel,60,
,,8.716486774,,space,0.694865,5,0,5,0,1,EK76717,2,2020-07-08_14h27.22.851,PVT builder,2020.1.3,MacIntel,60,
,,9.17327727,,space,0.283865,6,0,6,0,1,EK76717,2,2020-07-08_14h27.22.851,PVT builder,2020.1.3,MacIntel,60,
,,7.947320988,,space,0.28421,7,0,7,0,1,EK76717,2,2020-07-08_14h27.22.851,PVT builder,2020.1.3,MacIntel,60,
,,9.099498766,,space,0.319585,8,0,8,0,1,EK76717,2,2020-07-08_14h27.22.851,PVT builder,2020.1.3,MacIntel,60,
,,5.468035956,,space,0.50063,9,0,9,0,1,EK76717,2,2020-07-08_14h27.22.851,PVT builder,2020.1.3,MacIntel,60,
,,7.535109009,"[""space"",""space"",""space"",""space"",""space""]",space,0.3034,10,0,10,0,1,EK76717,2,2020-07-08_14h27.22.851,PVT builder,2020.1.3,MacIntel,60,"[4.241409999995085,4.769049999995332,5.386099999996077,5.98686999999336,6.640274999997928]"
,,4.428572197,,space,0.303285,11,0,11,0,1,EK76717,2,2020-07-08_14h27.22.851,PVT builder,2020.1.3,MacIntel,60,
,,8.569170823,,space,0.319115,12,0,12,0,1,EK76717,2,2020-07-08_14h27.22.851,PVT builder,2020.1.3,MacIntel,60,
