Start.keys,Start.rt,Interval_stimulus,key_resp.keys,key_resp.rt,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate
space,5.91271,9.102819874,"[""space""]",[1.9370050000143237],space,0.246975,0,0,0,0,1,EP57702,2,2020-05-17_16h14.04.410,PVT builder,2020.1.3,Win32,60
,,9.967607771,,,space,0.251825,1,0,1,0,1,EP57702,2,2020-05-17_16h14.04.410,PVT builder,2020.1.3,Win32,60
,,2.063543751,,,space,0.425515,2,0,2,0,1,EP57702,2,2020-05-17_16h14.04.410,PVT builder,2020.1.3,Win32,60
,,8.305005885,,,space,0.222395,3,0,3,0,1,EP57702,2,2020-05-17_16h14.04.410,PVT builder,2020.1.3,Win32,60
,,7.771704657,,,space,0.283795,4,0,4,0,1,EP57702,2,2020-05-17_16h14.04.410,PVT builder,2020.1.3,Win32,60
,,7.067762134,"[""space""]",[0.4168749999953434],space,0.282205,5,0,5,0,1,EP57702,2,2020-05-17_16h14.04.410,PVT builder,2020.1.3,Win32,60
,,6.966458372,,,space,0.24899,6,0,6,0,1,EP57702,2,2020-05-17_16h14.04.410,PVT builder,2020.1.3,Win32,60
,,5.927623856,,,space,0.503185,7,0,7,0,1,EP57702,2,2020-05-17_16h14.04.410,PVT builder,2020.1.3,Win32,60
,,5.841855197,,,space,0.320245,8,0,8,0,1,EP57702,2,2020-05-17_16h14.04.410,PVT builder,2020.1.3,Win32,60
,,5.674592764,,,space,0.28393,9,0,9,0,1,EP57702,2,2020-05-17_16h14.04.410,PVT builder,2020.1.3,Win32,60
,,7.004255534,,,space,0.25181,10,0,10,0,1,EP57702,2,2020-05-17_16h14.04.410,PVT builder,2020.1.3,Win32,60
,,4.556414073,,,space,0.353885,11,0,11,0,1,EP57702,2,2020-05-17_16h14.04.410,PVT builder,2020.1.3,Win32,60
,,7.56712891,,,space,0.236315,12,0,12,0,1,EP57702,2,2020-05-17_16h14.04.410,PVT builder,2020.1.3,Win32,60
,,2.707021247,,,space,0.273265,13,0,13,0,1,EP57702,2,2020-05-17_16h14.04.410,PVT builder,2020.1.3,Win32,60
