Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate,key_resp.rt
space,5.672105,2.248002715,,space,0.45398,0,0,0,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,8.143149149,,space,0.364375,1,0,1,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,7.430213455,,space,0.32109,2,0,2,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,2.137943279,,space,0.387995,3,0,3,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,8.62947495,"[""space""]",space,0.375335,4,0,4,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,[7.861210000002757]
,,6.410766199,,space,0.432565,5,0,5,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,2.036685652,,space,0.365145,6,0,6,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,3.968200771,,space,0.444825,7,0,7,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,3.833163676,,space,0.380895,8,0,8,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,2.743450649,,space,0.285995,9,0,9,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,7.469416464,,space,0.307555,10,0,10,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,4.031017016,,space,0.388375,11,0,11,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,9.938358787,,space,0.371695,12,0,12,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,3.701000962,,space,0.388995,13,0,13,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,3.701852506,,space,0.38626,14,0,14,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,9.656222502,,space,0.514725,15,0,15,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,4.433107476,,space,0.3317,16,0,16,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,2.414008562,,space,0.37427,17,0,17,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,8.574142171,,space,0.549205,18,0,18,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,8.164852653,,space,0.38835,19,0,19,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,6.33766506,,space,0.38194,20,0,20,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,3.347907575,,space,0.487375,21,0,21,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,4.723222522,,space,0.295175,22,0,22,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,4.756039396,,space,0.369095,23,0,23,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,5.940394641,,space,0.521035,24,0,24,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,7.577872347,,space,0.35846,25,0,25,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,8.723704617,,space,0.31545,26,0,26,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,4.720784584,,space,0.37451,27,0,27,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,3.610352687,,space,0.367955,28,0,28,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,3.822886993,,space,0.37007,29,0,29,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,2.466527099,,space,0.49149,30,0,30,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,5.622440384,,space,0.453505,31,0,31,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,3.435820623,,space,0.418805,32,0,32,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,2.176955292,,space,0.45756,33,0,33,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,7.077278848,,space,0.29608,34,0,34,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,9.750539494,,space,0.36186,35,0,35,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,9.660668875,,space,0.36267,36,0,36,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,2.812363804,,space,0.433795,37,0,37,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,9.243829953,,space,0.35084,38,0,38,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,6.083301279,,space,0.441735,39,0,39,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,4.570353884,"[""space""]",space,0.151095,40,0,40,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,[3.2739849999925354]
,,6.19679548,,space,0.37028,41,0,41,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,2.420171896,,space,0.474465,42,0,42,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
,,2.731358799,,space,0.45598,43,0,43,0,1,MW14953,2,2020-07-02_12h43.01.580,PVT builder,2020.1.3,Linux x86_64,60,
