Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate,key_resp.rt
space,6.780955,7.662483599,,space,0.239985,0,0,0,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,3.027549848,,space,0.29683,1,0,1,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,4.326599999,,space,0.234,2,0,2,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,8.652951411,,space,0.254175,3,0,3,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,6.386073501,,space,0.238675,4,0,4,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,7.66606237,,space,0.236535,5,0,5,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,2.294391272,,space,0.311335,6,0,6,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,2.124659072,,space,0.251665,7,0,7,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,7.16952342,,space,0.25137,8,0,8,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,4.932890254,,space,0.220005,9,0,9,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,5.010117525,,space,0.260645,10,0,10,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,4.950618461,,space,0.24138,11,0,11,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,5.641134862,,space,0.22841,12,0,12,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,8.83679829,,space,0.267365,13,0,13,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,4.1683555,,space,0.238515,14,0,14,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,4.80777959,,space,0.25386,15,0,15,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,8.168422114,,space,0.234285,16,0,16,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,5.201205911,,space,0.267695,17,0,17,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,9.252116787,,space,0.25396,18,0,18,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,5.48453948,,space,0.25501,19,0,19,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,3.578016261,,space,0.243575,20,0,20,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,8.759371567,"[""space""]",space,0.2533,21,0,21,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,[5.418325000000522]
,,8.523523583,,space,0.23453,22,0,22,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,7.926509963,,space,0.235075,23,0,23,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,3.100245827,,space,0.278795,24,0,24,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,8.106004142,,space,0.25037,25,0,25,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,2.644637332,,space,0.285645,26,0,26,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,9.945515538,,space,0.23358,27,0,27,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,8.372974276,,space,0.250715,28,0,28,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,5.226196128,,space,0.25167,29,0,29,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,3.94931216,,space,0.250785,30,0,30,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,5.696248611,,space,0.243645,31,0,31,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,2.767815563,,space,0.235105,32,0,32,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,3.139936266,,space,0.23827,33,0,33,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,4.5825474,,space,0.23404,34,0,34,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,9.594923874,,space,0.24945,35,0,35,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,6.319697198,,space,0.257995,36,0,36,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,8.692443714,,space,0.31046,37,0,37,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,7.636403783,,space,0.24425,38,0,38,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,7.87448194,,space,0.255885,39,0,39,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
,,8.514764874,,space,0.253185,40,0,40,0,1,testtesttest,2,2020-05-24_04h58.36.401,PVT builder,2020.1.3,Win32,60,
