Start.keys,Start.rt,Interval_stimulus,key_resp.keys,key_resp.rt,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate
space,4.628,6.607594968,"[""space"",""space""]","[2.306000000000001,5.934999999999999]",space,1.368,0,0,0,0,1,MFH45481,2,2020-06-08_22h07.33.733,PVT builder,2020.1.3,Win32,60
,,6.258218507,,,space,0.48,1,0,1,0,1,MFH45481,2,2020-06-08_22h07.33.733,PVT builder,2020.1.3,Win32,60
,,6.824255851,,,space,0.3,2,0,2,0,1,MFH45481,2,2020-06-08_22h07.33.733,PVT builder,2020.1.3,Win32,60
,,9.948111034,,,space,0.361,3,0,3,0,1,MFH45481,2,2020-06-08_22h07.33.733,PVT builder,2020.1.3,Win32,60
,,7.08723025,,,space,0.619,4,0,4,0,1,MFH45481,2,2020-06-08_22h07.33.733,PVT builder,2020.1.3,Win32,60
,,5.9017339,,,space,0.327,5,0,5,0,1,MFH45481,2,2020-06-08_22h07.33.733,PVT builder,2020.1.3,Win32,60
,,8.893244579,,,space,0.595,6,0,6,0,1,MFH45481,2,2020-06-08_22h07.33.733,PVT builder,2020.1.3,Win32,60
,,2.780100674,,,space,0.402,7,0,7,0,1,MFH45481,2,2020-06-08_22h07.33.733,PVT builder,2020.1.3,Win32,60
,,6.38780994,"[""space""]",[1.8519999999999897],space,0.382,8,0,8,0,1,MFH45481,2,2020-06-08_22h07.33.733,PVT builder,2020.1.3,Win32,60
,,5.900061836,"[""space""]",[4.918000000000006],space,0.52,9,0,9,0,1,MFH45481,2,2020-06-08_22h07.33.733,PVT builder,2020.1.3,Win32,60
,,9.187468454,"[""space"",""space""]","[1.358000000000004,6.590000000000003]",space,0.366,10,0,10,0,1,MFH45481,2,2020-06-08_22h07.33.733,PVT builder,2020.1.3,Win32,60
,,5.751252985,,,space,0.372,11,0,11,0,1,MFH45481,2,2020-06-08_22h07.33.733,PVT builder,2020.1.3,Win32,60
,,7.995785328,"[""space""]",[7.958000000000013],space,0.327,12,0,12,0,1,MFH45481,2,2020-06-08_22h07.33.733,PVT builder,2020.1.3,Win32,60
,,4.860080323,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.18299999999999272,0.41200000000000614,0.6020000000000039,0.820999999999998,1.0049999999999955,1.2110000000000127,1.4230000000000018,1.6850000000000023,1.9000000000000057,2.098000000000013,2.3100000000000023,2.5080000000000098,2.6810000000000116,2.967000000000013,3.180000000000007,3.3870000000000005,3.5999999999999943,3.805000000000007,4.02000000000001,4.217000000000013,4.415999999999997,4.6200000000000045,4.819000000000017]",space,0.161,13,0,13,0,1,MFH45481,2,2020-06-08_22h07.33.733,PVT builder,2020.1.3,Win32,60
,,3.49101568,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.160000000000025,0.3800000000000239,0.625,0.8220000000000027,0.9879999999999995,1.2420000000000186,1.457000000000022,1.6610000000000014,1.8760000000000048,2.0880000000000223,2.295000000000016,2.507000000000005,2.737000000000023,2.9680000000000177,3.156000000000006,3.362000000000023]",space,0.102,14,0,14,0,1,MFH45481,2,2020-06-08_22h07.33.733,PVT builder,2020.1.3,Win32,60
