Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate,key_resp.rt
space,4.903495,9.556304665,,space,0.238015,0,0,0,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,8.552481907,,space,0.236865,1,0,1,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,8.714489482,,space,0.25456,2,0,2,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,4.738412064,,space,0.258115,3,0,3,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,2.779006649,,space,0.282935,4,0,4,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,4.829577658,"[""space""]",space,0.266675,5,0,5,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,[3.6601599999994505]
,,4.78555374,,space,0.203765,6,0,6,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,2.33036716,,space,0.255205,7,0,7,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,3.784930875,,space,0.30545,8,0,8,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,3.248689024,,space,0.305875,9,0,9,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,3.281763459,,space,0.239565,10,0,10,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,3.081007987,,space,0.256345,11,0,11,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,2.225962393,,space,0.236575,12,0,12,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,4.476220973,,space,0.22301,13,0,13,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,6.006026704,,space,0.239735,14,0,14,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,2.175060138,,space,0.357215,15,0,15,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,4.727211397,,space,0.11987,16,0,16,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,6.919093596,"[""space""]",space,0.304165,17,0,17,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,[6.423005000004196]
,,6.116205608,,space,0.27023,18,0,18,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,9.656435953,,space,0.206635,19,0,19,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,3.647048986,,space,0.23986,20,0,20,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,7.548195576,,space,0.238025,21,0,21,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,6.687871423,,space,0.22094,22,0,22,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,7.387061006,,space,0.219985,23,0,23,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,6.123861844,,space,0.270985,24,0,24,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,5.12864793,,space,0.253285,25,0,25,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,6.976907567,,space,0.221035,26,0,26,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,2.97335671,,space,0.323155,27,0,27,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,2.588480085,,space,0.25286,28,0,28,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,4.19525089,,space,0.257885,29,0,29,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,7.644954111,,space,0.20157,30,0,30,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,3.147714996,,space,0.319405,31,0,31,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,4.260002267,,space,0.255335,32,0,32,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,8.484991518,,space,0.252915,33,0,33,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,5.230927908,,space,0.253455,34,0,34,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,8.653513707,,space,0.236605,35,0,35,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,8.180683889,,space,0.256465,36,0,36,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,8.84597542,,space,0.235765,37,0,37,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,7.60252451,,space,0.25282,38,0,38,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,3.173227007,,space,0.28621,39,0,39,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,8.970671026,"[""space""]",space,0.235235,40,0,40,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,[0.9358449999999721]
,,8.748969044,,space,0.22145,41,0,41,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,4.341404631,,space,0.254705,42,0,42,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,
,,8.604266515,"[""space""]",space,0.25332,43,0,43,0,1,MR84413,2,2020-05-24_15h04.45.830,PVT builder,2020.1.3,Win32,60,[5.775674999997136]
