Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate
space,15.60489,4.804386591,,space,0.313185,0,0,0,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
,,9.133651169,,space,0.410845,1,0,1,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
,,4.055916869,,space,0.415965,2,0,2,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
,,6.24385844,,space,0.341675,3,0,3,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
,,6.003846288,,space,0.34221,4,0,4,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
,,9.030380764,,space,0.45548,5,0,5,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
,,4.788772953,,space,0.417395,6,0,6,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
,,2.268224423,,space,0.36551,7,0,7,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
,,3.359651797,,space,0.391605,8,0,8,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
,,7.033402633,,space,0.322085,9,0,9,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
,,5.962706919,,space,0.37849,10,0,10,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
,,6.113896237,,space,0.355095,11,0,11,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
,,2.522391328,,space,0.37691,12,0,12,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
,,5.58013523,,space,0.39646,13,0,13,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
,,7.73843168,,space,0.305855,14,0,14,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
,,4.415774619,,space,0.40389,15,0,15,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
,,6.978595701,,space,0.30882,16,0,16,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
,,7.213205569,,space,0.330175,17,0,17,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
,,9.645272276,,space,0.309775,18,0,18,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
,,4.278737465,,space,0.47611,19,0,19,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
,,7.702155935,,space,0.376195,20,0,20,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
,,8.272151252,,space,0.39803,21,0,21,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
,,2.46817975,,space,0.41686,22,0,22,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
,,3.494718221,,space,0.33944,23,0,23,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
,,5.341003073,,space,0.468835,24,0,24,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
,,6.072820037,,space,0.3209,25,0,25,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
,,8.56642799,,space,0.31168,26,0,26,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
,,7.571871981,,space,0.41211,27,0,27,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
,,4.383711809,,space,0.412515,28,0,28,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
,,5.832047632,,space,0.35762,29,0,29,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
,,8.403346763,,space,0.413245,30,0,30,0,1,DV93893,1,2020-06-17_09h02.53.835,PVT builder,2020.1.3,Win32,60
