Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate,key_resp.rt
space,11.363255,5.366376146,,space,0.333365,0,0,0,0,1,SM81477,2,2020-06-01_20h58.21.552,PVT builder,2020.1.3,Win32,60,
,,6.480205652,,space,0.336325,1,0,1,0,1,SM81477,2,2020-06-01_20h58.21.552,PVT builder,2020.1.3,Win32,60,
,,9.915074495,,space,0.26821,2,0,2,0,1,SM81477,2,2020-06-01_20h58.21.552,PVT builder,2020.1.3,Win32,60,
,,9.692961031,,space,0.266535,3,0,3,0,1,SM81477,2,2020-06-01_20h58.21.552,PVT builder,2020.1.3,Win32,60,
,,6.357730374,,space,0.337525,4,0,4,0,1,SM81477,2,2020-06-01_20h58.21.552,PVT builder,2020.1.3,Win32,60,
,,8.905725272,,space,0.304975,5,0,5,0,1,SM81477,2,2020-06-01_20h58.21.552,PVT builder,2020.1.3,Win32,60,
,,3.01562395,,space,0.318905,6,0,6,0,1,SM81477,2,2020-06-01_20h58.21.552,PVT builder,2020.1.3,Win32,60,
,,7.95301207,,space,0.30179,7,0,7,0,1,SM81477,2,2020-06-01_20h58.21.552,PVT builder,2020.1.3,Win32,60,
,,7.150693759,,space,0.317905,8,0,8,0,1,SM81477,2,2020-06-01_20h58.21.552,PVT builder,2020.1.3,Win32,60,
,,4.271511734,,space,0.32219,9,0,9,0,1,SM81477,2,2020-06-01_20h58.21.552,PVT builder,2020.1.3,Win32,60,
,,8.447826603,"[""space""]",space,0.3365,10,0,10,0,1,SM81477,2,2020-06-01_20h58.21.552,PVT builder,2020.1.3,Win32,60,[7.899104999989504]
,,3.743865212,,space,0.354815,11,0,11,0,1,SM81477,2,2020-06-01_20h58.21.552,PVT builder,2020.1.3,Win32,60,
,,8.017501833,"[""space""]",space,0.336635,12,0,12,0,1,SM81477,2,2020-06-01_20h58.21.552,PVT builder,2020.1.3,Win32,60,[2.069455000018934]
,,4.962669509,,space,0.31979,13,0,13,0,1,SM81477,2,2020-06-01_20h58.21.552,PVT builder,2020.1.3,Win32,60,
,,7.660906488,,space,0.304305,14,0,14,0,1,SM81477,2,2020-06-01_20h58.21.552,PVT builder,2020.1.3,Win32,60,
,,2.847965749,,space,0.38638,15,0,15,0,1,SM81477,2,2020-06-01_20h58.21.552,PVT builder,2020.1.3,Win32,60,
,,8.252941479,,space,0.336065,16,0,16,0,1,SM81477,2,2020-06-01_20h58.21.552,PVT builder,2020.1.3,Win32,60,
