Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate
space,4.451995,3.464866931,,space,0.34193,0,0,0,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,5.648601323,,space,0.280405,1,0,1,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,3.523056595,,space,0.26823,2,0,2,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,4.967189714,,space,0.322595,3,0,3,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,4.401877393,,space,0.30448,4,0,4,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,8.882586364,,space,0.317495,5,0,5,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,3.635880627,,space,0.35731,6,0,6,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,4.266123772,,space,0.25058,7,0,7,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,2.274103659,,space,0.24917,8,0,8,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,7.089891121,,space,0.318605,9,0,9,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,3.909231433,,space,0.302345,10,0,10,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,9.459822698,,space,0.28523,11,0,11,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,5.533764012,,space,0.2982,12,0,12,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,7.577139036,,space,0.30216,13,0,13,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,2.267373552,,space,0.343215,14,0,14,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,7.275257289,,space,0.3073,15,0,15,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,9.705529029,,space,0.2974,16,0,16,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,4.48428733,,space,0.31713,17,0,17,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,6.224895276,,space,0.25726,18,0,18,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,3.123688324,,space,0.42073,19,0,19,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,3.186805901,,space,0.288365,20,0,20,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,3.833495396,,space,0.501785,21,0,21,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,5.478918653,,space,0.287715,22,0,22,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,3.461543158,,space,0.251065,23,0,23,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,9.737334737,,space,0.26206,24,0,24,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,3.015530359,,space,0.305715,25,0,25,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,3.238164629,,space,0.304455,26,0,26,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,3.242356477,,space,0.314255,27,0,27,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,9.211206132,,space,0.30114,28,0,28,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,7.726200192,,space,0.331505,29,0,29,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,2.025187173,,space,0.47416,30,0,30,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,6.545313406,,space,0.30539,31,0,31,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,6.66532715,,space,0.316035,32,0,32,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,9.214941201,,space,0.26857,33,0,33,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,3.640903843,,space,0.285545,34,0,34,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,3.05079961,,space,0.34191,35,0,35,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,4.116643286,,space,0.327915,36,0,36,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,7.590317948,,space,0.27268,37,0,37,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,3.00866325,,space,0.31624,38,0,38,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,8.764629146,,space,0.37075,39,0,39,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,4.316341969,,space,0.3532,40,0,40,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,6.456339217,,space,0.25139,41,0,41,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,7.296821209,,space,0.322535,42,0,42,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,8.236953921,,space,0.439035,43,0,43,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
,,2.483801115,,space,0.49158,44,0,44,0,1,FP36564,2,2020-05-17_00h41.20.319,PVT builder,2020.1.3,Win32,60
