Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate,key_resp.rt
space,11.824805,3.307202452,,space,0.266615,0,0,0,0,1,ZW39039,2,2020-05-31_03h49.44.178,PVT builder,2020.1.3,MacIntel,60,
,,5.133764271,"[""space""]",space,0.28399,1,0,1,0,1,ZW39039,2,2020-05-31_03h49.44.178,PVT builder,2020.1.3,MacIntel,60,[1.6833250001072884]
,,6.598784068,,space,0.25061,2,0,2,0,1,ZW39039,2,2020-05-31_03h49.44.178,PVT builder,2020.1.3,MacIntel,60,
,,9.18126028,,space,0.317275,3,0,3,0,1,ZW39039,2,2020-05-31_03h49.44.178,PVT builder,2020.1.3,MacIntel,60,
,,8.648281389,,space,0.29999,4,0,4,0,1,ZW39039,2,2020-05-31_03h49.44.178,PVT builder,2020.1.3,MacIntel,60,
,,8.471776565,,space,0.367655,5,0,5,0,1,ZW39039,2,2020-05-31_03h49.44.178,PVT builder,2020.1.3,MacIntel,60,
,,8.539729226,,space,0.31906,6,0,6,0,1,ZW39039,2,2020-05-31_03h49.44.178,PVT builder,2020.1.3,MacIntel,60,
,,4.903066287,"[""lcommand""]",space,0.306055,7,0,7,0,1,ZW39039,2,2020-05-31_03h49.44.178,PVT builder,2020.1.3,MacIntel,60,[2.1840800000354648]
,,3.146213941,,space,0.38449,8,0,8,0,1,ZW39039,2,2020-05-31_03h49.44.178,PVT builder,2020.1.3,MacIntel,60,
,,2.395983995,,space,0.333565,9,0,9,0,1,ZW39039,2,2020-05-31_03h49.44.178,PVT builder,2020.1.3,MacIntel,60,
,,4.70048368,,space,0.28338,10,0,10,0,1,ZW39039,2,2020-05-31_03h49.44.178,PVT builder,2020.1.3,MacIntel,60,
,,6.793214188,,space,0.24852,11,0,11,0,1,ZW39039,2,2020-05-31_03h49.44.178,PVT builder,2020.1.3,MacIntel,60,
,,6.233419113,,space,0.268755,12,0,12,0,1,ZW39039,2,2020-05-31_03h49.44.178,PVT builder,2020.1.3,MacIntel,60,
,,3.782380065,"[""lcommand""]",space,0.40011,13,0,13,0,1,ZW39039,2,2020-05-31_03h49.44.178,PVT builder,2020.1.3,MacIntel,60,[2.0340049997903407]
,,5.898414465,,space,0.26737,14,0,14,0,1,ZW39039,2,2020-05-31_03h49.44.178,PVT builder,2020.1.3,MacIntel,60,
,,2.070379034,,space,0.403045,15,0,15,0,1,ZW39039,2,2020-05-31_03h49.44.178,PVT builder,2020.1.3,MacIntel,60,
,,7.885913783,,space,0.268885,16,0,16,0,1,ZW39039,2,2020-05-31_03h49.44.178,PVT builder,2020.1.3,MacIntel,60,
,,6.947913604,,space,0.250825,17,0,17,0,1,ZW39039,2,2020-05-31_03h49.44.178,PVT builder,2020.1.3,MacIntel,60,
,,4.350307759,,space,0.301165,18,0,18,0,1,ZW39039,2,2020-05-31_03h49.44.178,PVT builder,2020.1.3,MacIntel,60,
,,6.697778483,,space,0.268145,19,0,19,0,1,ZW39039,2,2020-05-31_03h49.44.178,PVT builder,2020.1.3,MacIntel,60,
,,9.473065522,,space,0.251175,20,0,20,0,1,ZW39039,2,2020-05-31_03h49.44.178,PVT builder,2020.1.3,MacIntel,60,
,,4.140801471,"[""space""]",space,0.272115,21,0,21,0,1,ZW39039,2,2020-05-31_03h49.44.178,PVT builder,2020.1.3,MacIntel,60,[0.43085499992594123]
,,2.558641124,,space,0.31764,22,0,22,0,1,ZW39039,2,2020-05-31_03h49.44.178,PVT builder,2020.1.3,MacIntel,60,
,,8.859212287,"[""space""]",space,0.26896,23,0,23,0,1,ZW39039,2,2020-05-31_03h49.44.178,PVT builder,2020.1.3,MacIntel,60,[3.5319149997085333]
